title,year,name,type,character,n
Hej du glada sommar!!!,1965,Celeste Alm,actress,St?dfru II,
Kattorna,1965,Celeste Alm,actress,Ann-Marie,
Zon 261,2016,Karin Alm,actress,Rebecca,
Actor for Hire,2015,Kerstin Alm,actress,Kerstin,
Beyond the Rye,2018,Kerstin Alm,actress,Gunnhild,10
Coffee & Cabbage,2016,Kerstin Alm,actress,Poet Slam Fan,
Division 19,2017,Kerstin Alm,actress,Businesswoman,
Good Grief,2016,Kerstin Alm,actress,Funeral Goer,
Only Now Existing's Escape Artist,2017,Kerstin Alm,actress,Courtroom Clerk,116
Stray (II),2017,Kerstin Alm,actress,Diner Patron,
The Gold & the Beautiful,2009,Kerstin Alm,actress,Club Guest,
Rentun ruusu,2001,Kirsi Alm,actress,Woman in Irwin's Car,33
Vares - sheriffi,2015,Kirsi Alm,actress,MTV:n uutistenlukija,
SOPOR,1981,Malin Alm,actress,Flicka,29
Honeyspider,2014,Anjali Alm-Basu,actress,Carrie,
Sibelius,2003,Alma (III),actress,Lesko-Dog,122
Het bittere kruid,1985,Alma (V),actress,Vrouw in trein,19
Eskuwelahang munti,1965,Alma (VII),actress,Little Rascals,12
Sadomaster Locura General,2011,Alma (X),actress,Siouxie,
Control Alt Destroy,2011,Alma (XII),actress,Dog,
Aux frais de la princesse,1969,Agatha Alma,actress,L?da,7
Coplan sauve sa peau,1968,Agatha Alma,actress,Faith,12
Candela (III),2015,Angie Alma,actress,Bea,1
Gun of the Black Sun,2011,Boiangiu Alma,actress,Guitar Player,
Singh Is Bliing,2015,Boiangiu Alma,actress,Singer,
The Seeker: The Dark Is Rising,2007,Boiangiu Alma,actress,Student,
Head in the Clouds,2004,Daniella Alma,actress,Amy,
The Immigrant,2013,Daniella Alma,actress,Young Nurse,
300 Worte Deutsch,2013,Esra Alma,actress,Braut 2,28
A Bridge Too Far,1977,Henny Alma,actress,Dutch Villager,48
De inbreker,1972,Henny Alma,actress,Vrouw in caf?,19
Dood van een non,1975,Henny Alma,actress,Moeder,10
Flanagan,1975,Henny Alma,actress,Verpleegster,11
"Help, de dokter verzuipt!",1974,Henny Alma,actress,Moeder Majella,14
Oom Ferdinand en de toverdrank,1974,Henny Alma,actress,Mevrouw Faber,
Peter en de vliegende autobus,1976,Henny Alma,actress,Moeder van Peter,
Rue haute,1976,Henny Alma,actress,Belle,
Soldaat van Oranje,1977,Henny Alma,actress,Queen's Secretary,19
Zwaarmoedige verhalen voor bij de centrale verwarming,1975,Henny Alma,actress,"Vrouw in tram (segment ""Mijnheer Frits"")",6
Las aventuras de Taxi Key,1959,In?s Alma,actress,Nora,2
2000 naftes ki ena koritsi,1960,Linda Alma,actress,Dancer,
Asteria sto vourko,1963,Linda Alma,actress,Dancer,
Diakopes stin Kolopetinitsa,1959,Linda Alma,actress,Dancer,
Drakoulas & Sia,1959,Linda Alma,actress,Dancer,
Eftyhos horis douleia,1963,Linda Alma,actress,Dancer,
Exo ftoheia kai kali kardia,1964,Linda Alma,actress,Dancer,
Gamos ala... ellinika,1964,Linda Alma,actress,Dancer,
Haroumeno xekinima,1954,Linda Alma,actress,Dancer,
Kalimera Athina,1960,Linda Alma,actress,Dancer,
Na zisoun ta ftohopaida,1959,Linda Alma,actress,Dancer,
Stournara 288,1960,Linda Alma,actress,Dancer,
Tha ziso gia sena,1965,Linda Alma,actress,Dancer,
One Less God,2017,Paloma Alma,actress,The running woman,
Meena,2011,Almaas,actress,Kamala,
Love Triangle,2013,Ava Almada,actress,Little Sally,40
Can This Be Love,2005,Florecita M. Almadin,actress,Choreographer,35
9 Full Moons,2013,Gabrielle Almagor,actress,Yard sale mom,
Vegas Cinefest,2011,Gabrielle Almagor,actress,Herself - Guest,
Ahava Rishonah,1982,Gila Almagor,actress,Ziva,1
Al Hevel Dak,1980,Gila Almagor,actress,Paula,1
Antenna,2016,Gila Almagor,actress,Sarah,
Dangerous Acts,1998,Gila Almagor,actress,Zvia Yisraeli,
Einer spielt falsch,1965,Gila Almagor,actress,Yasmin,4
El Dorado,1963,Gila Almagor,actress,Margo,2
Ervinka,1967,Gila Almagor,actress,Ruti,
Escape to the Sun,1972,Gila Almagor,actress,The Judge,9
Etz Hadomim Tafus,1994,Gila Almagor,actress,Henya Aleksandrowicz,1
Every Time We Say Goodbye,1986,Gila Almagor,actress,Lea,5
Fire Birds,2015,Gila Almagor,actress,Olga,
Fortuna,1966,Gila Almagor,actress,Margot,
Ha-Bayit Berechov Chelouche,1973,Gila Almagor,actress,Clara,1
Ha-Bsora Al-Pi Elohim,2004,Gila Almagor,actress,Mary,
Ha-Chayim Al-Pi Agfa,1992,Gila Almagor,actress,Daliah,1
Ha-Kayitz Shel Aviya,1988,Gila Almagor,actress,Henya Aleksandrowicz,1
Hamiklat,2007,Gila Almagor,actress,Sarah Amihai,2
Hora 79,2013,Gila Almagor,actress,Sarah B,
Kvish L'Lo Motzah,1982,Gila Almagor,actress,Miri,
Leylasede,1995,Gila Almagor,actress,Yona,
Malkat Hakvish,1971,Gila Almagor,actress,Margalit,2
Matzor,1969,Gila Almagor,actress,Tamar,
Mivtsa Yonatan,1977,Gila Almagor,actress,Nurit Aviv,2
Munich,2005,Gila Almagor,actress,Avner's Mother,8
Riki Riki,2005,Gila Almagor,actress,Batya,
Sallah Shabati,1964,Gila Almagor,actress,Bathsheva Sosialit,3
Sh'Chur,1994,Gila Almagor,actress,Mother,1
The Debt,2007,Gila Almagor,actress,Rachel Berner,
The Human Resources Manager,2010,Gila Almagor,actress,The Widow,7
The Rose Garden,1989,Gila Almagor,actress,Ruth,8
Tod eines Fremden,1976,Gila Almagor,actress,Amina,3
Mucha sangre,2002,Susana Almagro,actress,Doble de labios,61
Listening,2014,Araceli Almaguer,actress,Scientist,40
Richard III,2007,Araceli Almaguer,actress,Lancaster Subordinate,114
Jhoyero,2015,Berenice Almaguer,actress,Claudia,
Dead Letter (II),2008,Cynthia Almaguer,actress,Mother,
Dead Letter (II),2008,Cynthia Almaguer,actress,Maria,
Los pajarracos,2006,Ilean Almaguer,actress,Blanquita,
Dancing in Twilight,2005,Jennifer Almaguer,actress,Party Guest,
Houston,2013,Jennifer Almaguer,actress,Houston Petrol Receptionist,7
La taqueria,2003,Jennifer Almaguer,actress,Janine,
Portion,2012,Jennifer Almaguer,actress,Vivian,
Somebody's Darling,2016,Jennifer Almaguer,actress,2nd Club Date,
Fred Claus,2007,Lillian Almaguer,actress,Girl,
Clayton & Claudia,2015,Nancy Almaguer,actress,Kaylah,
Zombie Train,2017,Cristy Almaida,actress,Zombie,19
Zombie Train,2017,Cristy Almaida,actress,Saloon Girl,19
6 Nonsmokers,2011,Ariana Almajan,actress,Lori Funnell,4
Gray Matters (II),2006,Ariana Almajan,actress,Jinweh,
Quantum Theory,2018,Ariana Almajan,actress,Dr. Hitchcock,
Safehouse,2008,Ariana Almajan,actress,Farrell,
She's in the Details,2011,Ariana Almajan,actress,Aerynn,
Signals,2008,Ariana Almajan,actress,Detective Lieutenant Kay Dorsey,4
Signals 2,2013,Ariana Almajan,actress,Det. Lt. Kay Dorsey,30
The Murder Game,2006,Ariana Almajan,actress,Carrie,
The Photon Effect,2010,Ariana Almajan,actress,Tina Viccarini,4
The Research Clinic,2014,Ariana Almajan,actress,Nicole Weston,
Time Refugees,2014,Ariana Almajan,actress,Dakota,5
In the Company of Men,1997,Tanya Alman,actress,Bank patron,74
Death to Prom,2014,Dominique Almand,actress,Customer 1,
Dayereh,2000,Maryiam Palvin Almani,actress,Arezou,2
Saving Face,2001,Vera Almann,actress,Scary Photographer,
Ice from the Sun,1999,Karen Almany,actress,Additional Soul,46
Personality Plus,2009,Ana Almanza,actress,CIA Agent,19
Sacrament,2014,Andra Almanza,actress,Congregation,53
The Magnificent Dead,2010,Linda Almanza,actress,Cathren,
The Space Between Us,2017,Lluvia Almanza,actress,Genesis Shareholder,
Muertes a medianoche,2001,Mariana Almanza,actress,Monja,21
Beautiful Prison,2016,M?nica Almanza,actress,Doctora,
Que Pena Tu Vida,2016,Pamela Almanza,actress,Teresa,
Dosi,2017,Cynthia A. Almanzar,actress,Woman at store,
El Camino Correcto,2016,Elba Almanzar,actress,Comadre,
11:55,2016,Sandra Almanzar,actress,Young Woman,
3D Bikini Beach Babes Issue #2,2012,Marilynn Almaraz,actress,Herself,
Varsity Punks,2017,Stephanie Almaraz,actress,Karina,
Astronautas,2003,Mercedes Almarcha,actress,Enfermera,15
Adosados,1996,Sonia Almarcha,actress,Secretaria Andr?s,27
Amador,2010,Sonia Almarcha,actress,Yolanda,4
Amar,2016,Sonia Almarcha,actress,Carmen,
El dios de madera,2010,Sonia Almarcha,actress,Amelia,
Faraday,2013,Sonia Almarcha,actress,Madre de Faraday,7
La puerta abierta,2016,Sonia Almarcha,actress,Juana,6
La soledad,2007,Sonia Almarcha,actress,Adela,1
Las razones de mis amigos,2000,Sonia Almarcha,actress,Mar?a Luisa,15
Muertos comunes,2004,Sonia Almarcha,actress,Charo,8
Reina santa,1947,Joaquina Almarche,actress,Mar?a de Molina,19
Freesia,2017,Bushra Almari,actress,University Student 2,
Crypt of Dark Secrets,1976,Cindy Almario,actress,Voodoo Dancer,10
And Then There Was None,2013,Iris Almario,actress,Roxy,2
Below the Beltway,2010,Iris Almario,actress,Missy,
God Bless America,2011,Iris Almario,actress,Sophia Milo,44
The Last Request,2006,Iris Almario,actress,Maria Luna,19
The Fighting Chefs,2013,Krizzy Almario,actress,Sexy Chef,15
Thanks Maa,2009,Baby Almas,actress,Sursuri,5
American Sharia,2015,Leila Almas,actress,Azizah,
Odd Brodsky,2014,Leila Almas,actress,Girl at Audition,
Sweet Darling,2016,Leila Almas,actress,Megan,
The Summoning,2017,Leila Almas,actress,Rachel Iverson,2
Falling (III),2016,Melissa Almas,actress,Samantha Howard,
Night Run,2011,Melissa Almas,actress,Bar Patron 4,31
Mama San,2002,Rosita Almasol,actress,Prostitute,42
Kod apokalipsisa,2007,Safaa Almasoudi,actress,Telokhranitel Palacha,41
Dark Future,1994,Helena Almasova,actress,Katherine the Great,15
Paul Blart: Mall Cop 2,2015,Farah Almasy,actress,Casino Cocktail Waitress,
Noise (II),2007,Jessica Almasy,actress,Crackpot Anarchist,9
Unconscious,2006,Jessica Almasy,actress,Melanie Stradlater,5
Desde que amanece apetece,2005,Eva Almaya,actress,Pija 2,57
La conjura de El Escorial,2008,Eva Almaya,actress,Lavandera 1,46
Lejos del mar,2015,Eva Almaya,actress,Pilar,15
Los veraneantes,2007,Eva Almaya,actress,Sra. Pombo,
Luz de domingo,2007,Eva Almaya,actress,Laura,22
Double Duty,2009,Almayvonne,actress,Fashion photographer,10
High Freakquency,1998,Almayvonne,actress,Powell,
Mo' Money,1992,Almayvonne,actress,Charlotte,12
The Bad Batch,2016,Almayvonne,actress,Muscle Woman #2,
The Other Sister,1999,Almayvonne,actress,Rachel - Tech School,14
Arizona Seaside,2007,Alexa Almaz,actress,Nurse,
Sparkles Tavern,1985,Helen Almazan,actress,Chorus Girl,22
Burning Blue,2013,Raquel Almazan,actress,Female Mechanic,
"Jelena, Katarina, Marija",2012,Raquel Almazan,actress,Spanish Girl,
Kate & Kula,2010,Raquel Almazan,actress,Mayra Sanchez,23
Kate & Kula,2010,Raquel Almazan,actress,Upper East Side Mom,23
Run It,2009,Raquel Almazan,actress,Upset Teacher,
White Alligator,2012,Raquel Almazan,actress,Playwright,20
Sabine,2013,Yuki Almazan,actress,Mycka,16
Mental Cases,2006,Clara Almazar?n,actress,Clara,1
Seldom Dreaming,1996,Sarah Almazol,actress,Lauren,
New Day,2009,Lori Almburg,actress,Nightclub Patron,
Kaleidoscope World,2013,Anika Almeda,actress,3S&S Senior,74
Antonio cumple 50,2015,Conchi Almeda,actress,Lola,3
Desperadas 2,2008,Lerma Almeda,actress,Complainant,43
Batang West Side,2001,Priscilla Almeda,actress,Dolores,5
Chickboys,1994,Priscilla Almeda,actress,Malou,5
Exploitation,1997,Priscilla Almeda,actress,Liwayway,1
Guwapings dos,1993,Priscilla Almeda,actress,Mercy,9
Huwag kang kikibo...,2001,Priscilla Almeda,actress,Carol,1
Lagarista,2000,Priscilla Almeda,actress,Woman on the beach,38
Sabik sa halik,1995,Priscilla Almeda,actress,Maricris,2
Sariwa,1996,Priscilla Almeda,actress,Susie,1
Sutla,1999,Priscilla Almeda,actress,Sutla,1
Syota ng bayan,2001,Priscilla Almeda,actress,Tanya Marquez,1
WWW.,2012,Teresa Almeda,actress,Alicia,5
Once Upon a Deadtime Story,2015,Bianca Almedia,actress,Rachel,
Vai~E~Vem,2003,Cl?udia Almedia,actress,Emilia,18
The English Teacher,2013,Sasha Almedia-Beers,actress,Waitress,29
Commencement,2012,Joan Almedilla,actress,Rosalie,7
Yveete,2009,Magaly Almeida Carrillo,actress,Magy 'The Maid',29
Yveete,2009,Lupe Elena Almeida M?rquez,actress,Angela,9
Trabalhar Cansa,2011,Thais Almeida Prado,actress,Girl at folder,35
Nicht nichts ohne Dich,1985,Adelina Almeida,actress,Teresa,3
88 (II),2015,Alison Almeida,actress,Carly,24
Kiss Me,2004,Ana Almeida,actress,Madalena,54
Njinga Rainha de Angola,2013,Ana Almeida,actress,Kambo,9
Xuxa Requebra,1999,Ana Paula Almeida,actress,(group 'Paquitas'),
Brennende Betten,1988,Aysha Almeida,actress,Toilettenfrau,
Zuzu Angel,2006,Camila Almeida,actress,Cliente loja,
Cavemen,2013,Chriselle Almeida,actress,Other Indian Woman,26
Last Night,2010,Chriselle Almeida,actress,Hostess,15
Miss India America,2015,Chriselle Almeida,actress,Bindu Kapoor,14
Sex and the City 2,2010,Chriselle Almeida,actress,Stewardess #3,50
The American Gandhi,2016,Chriselle Almeida,actress,News Reporter,
The Franklin Abraham,2004,Chriselle Almeida,actress,India,
The Woodhaven Pause,2008,Chriselle Almeida,actress,Puja,
When Kiran Met Karen,2008,Chriselle Almeida,actress,Kiran,
Chamada a Cobrar,2012,Cida Almeida,actress,Dalva,
Assim assim,2012,Cleia Almeida,actress,Carla,3
Blood of My Blood,2011,Cleia Almeida,actress,Cl?udia Filipa Fialho,4
Esquece Tudo O Que Te Disse,2002,Cleia Almeida,actress,Joana,6
Noite Escura,2004,Cleia Almeida,actress,S?nia Pinto,4
O Fantasma do Novais,2012,Cleia Almeida,actress,Ana,1
The Lovebirds,2007,Cleia Almeida,actress,Sandra,10
Italiani a Rio,1987,Consuelo Almeida,actress,Betania,5
Friday the 13th Part VII: The New Blood,1988,Diane Almeida,actress,Kate,19
The Adventures of Ford Fairlane,1990,Diane Almeida,actress,Backup Singer,39
Fala Comigo,2016,D?bora Almeida,actress,Nurse 2,17
Demons and Doors,2012,Eleonora Lily Almeida,actress,Marion 2,38
Change the Game,2006,Elisangela Almeida,actress,Lyzz Rollins,6
100Volta,2009,Elizabeth Almeida,actress,Kate,9
Doggy Daycare: The Movie,2015,Emma Almeida,actress,Mourner #2,
Browncoats: Independence War,2015,Emma (II) Almeida,actress,Running Girl,
Mientras duermes,2011,Iris Almeida,actress,?rsula,5
Once More with Feeling,2009,Jes Almeida,actress,Mouse Park Employee,
The Devil's Well,2017,Jes Almeida,actress,Sarah Reynolds,11
The Devil's Well,2017,Jes Almeida,actress,Friend,11
Al Berto,2017,Joana (II) Almeida,actress,Manuela,
Cabaret Maxime,2016,Joana (II) Almeida,actress,Darla,24
Vertigem,1992,J?lia Almeida,actress,Gambler,44
Just Like We Used to Do,2016,Kirsten Almeida,actress,Allison,7
VIPs,2010,Maria Eug?nia Almeida,actress,Dan?arina do Frevo,50
A Baronesa Transviada,1957,Marly Almeida,actress,Manicure,34
Bengal Brigade,1954,Marta (II) Almeida,actress,Dancer,
Carmilla,2010,Millie Almeida,actress,?ngela,
Extermineitors 4: Como Hermanos Gemelos,1992,Monica Almeida,actress,Rikki's Rescue Girl,35
Molis horisa,2008,Nara Almeida,actress,Dancer,
Book of Choices,2015,Nicole Spohn Almeida,actress,Birthday Party Guest,
A Zona,2008,Patr?cia (III) Almeida,actress,M?e,7
O Grilo Feliz,2001,Rita Almeida,actress,Caracalina,
The Grand Theft,2011,Silvia Almeida,actress,Kousan,15
#modelswanted,2016,Stephanie Almeida,actress,Friend of Vicitm,
The Fifth Day,2013,Susana (II) Almeida,actress,Sara,3
He Never Died,2015,Tamara Almeida,actress,Clerk,12
Kiss and Cry,2017,Tamara Almeida,actress,I.C.U. Nurse Smith,
RoboCop,2014,Tamara Almeida,actress,Cop Who Greets Murphy,52
The Best Man Holiday,2013,Tamara Almeida,actress,Hot Co-Worker,
Colin Hearts Kay,2010,Vanessa Almeida,actress,Bikini Girl,
O Grande Kilapy,2012,Vanessa Almeida,actress,Prostitute,
El desierto,2013,Victoria Almeida,actress,Ana,
Malditos sean!,2011,Victoria Almeida,actress,"(segment ""El curandero"")",
Dos Policias en Apuros,2016,Yahaira Sosa Almeida,actress,Bodyguard,
Cabaret Maxime,2016,Zita Almeida,actress,Candy,22
Nicht nichts ohne Dich,1985,Gabariela Almeida-Sedas,actress,Marthas Mitbewohnerin,12
Amores perros,2000,Laura Almela,actress,Julieta,16
Desiertos mares,1995,Laura Almela,actress,Adriana,6
Las buenas costumbres,1990,Laura Almela,actress,Irene Morin,14
Veneno para las hadas,1984,Laura Almela,actress,Claudia,
Senin Hikayen,2013,Burcu Almeman,actress,Asli,
Barb Wire,1996,Angelie Almendare,actress,Hammerhead Clubgoer,
Six-Gun Women,2012,Angelie Almendare,actress,Sadie,
Spawn,1997,Angelie Almendare,actress,Diplomat's Wife,
Pasaporte rojo,2003,Brenda Almendarez,actress,Club goer,44
Little Hercules in 3-D,2009,Irlanda Almendarez,actress,Riza,16
Little Hercules in 3-D,2009,Italia Almendarez,actress,Riza's Sister,17
Maximum Breakout,1991,Lisa Almendarez,actress,Stuntman's Girlfriend,24
The Majorettes,1987,Teresa Almendarez,actress,Majorette,19
Everyone Says I Love You,1996,Ami Almendral,actress,Nanny,4
"Patricia, una vez basta",2005,Paola Almendras,actress,Sandra,5
El vicio y la virtud,1975,Teresa Almendros,actress,Maruja,9
Not Another Zombie Movie....About the Living Dead,2014,Abigail Almer,actress,Zombie,
De espaldas al mar,2009,Pilar Almer?a,actress,Aurora,
L'arbre de les cireres,1998,Pilar Almer?a,actress,Mestra,13
Affliction,1997,Susan Almgren,actress,Mrs. Gordon,24
An American Haunting,2005,Susan Almgren,actress,Elizabeth Powell - Mother,19
Fish Out of Water,1999,Susan Almgren,actress,Jennifer Matherson,4
Going to Kansas City,1998,Susan Almgren,actress,Bonnie Bruckner,4
Habitat,1997,Susan Almgren,actress,Ellen Bark,11
Laserhawk,1997,Susan Almgren,actress,Mrs. Raymond - Zach's Mother,8
Laurence Anyways,2012,Susan Almgren,actress,Journaliste,5
Malarek,1988,Susan Almgren,actress,Elena,
Rainbow,1995,Susan Almgren,actress,Libby Evans,38
Separate Vacations,1986,Susan Almgren,actress,Helene Gilbert,12
Stalked,1994,Susan Almgren,actress,Jeweled Lady,23
The Death and Life of John F. Donovan,2018,Susan Almgren,actress,Aunt Faith,
This Is My Father,1998,Susan Almgren,actress,Betty,5
Triptyque,2013,Susan Almgren,actress,Dre Veronica Jones,13
Two Summers,2002,Susan Almgren,actress,Angela Poppy,6
An American Haunting,2005,Isabelle Almgren-Dor?,actress,Jane,18
E tornato Carnevale,1937,Celeste Almieri,actress,La marchesa di Pigna,8
La canzone del sole,1934,Celeste Almieri,actress,Il Segretario,7
Ti ho sempre amato!,1953,Celeste Almieri,actress,Mrs. Margherita Manfredini,7
Cinderella,2015,Elina Alminas,actress,Princess Valentina,
Ex Machina,2015,Elina Alminas,actress,Amber,10
Jupiter Ascending,2015,Elina Alminas,actress,Robot Servant,
Midnight Sonder,2016,Elina Alminas,actress,Dr. Joyce,4
Residue,2015,Elina Alminas,actress,Geisha Girl,
Kepergok pocong,2011,Nadya Almira,actress,Princess,4
La quinta del porro,1981,Assumpta Almirall,actress,Novia de Alberto,7
Lola,1986,Marta Almirall,actress,Profesora colegio,9
Il richiamo del cuore,1930,Ada Cristina Almirante,actress,La signore Ashmore,5
La dama bianca,1938,Ada Cristina Almirante,actress,Isabella Schetti Marazzani,7
La vacanza del diavolo,1931,Ada Cristina Almirante,actress,Zia Bettina,7
Cabiria,1914,Italia Almirante-Manzini,actress,Sophonisba - Hasdrubal's Daughter,10
Hedda Gabler,1920,Italia Almirante-Manzini,actress,Hedda Gabler,
Ironie della vita,1917,Italia Almirante-Manzini,actress,Elena,1
Mala racha,2001,Irina Almir?n,actress,Graciela's Daughter,15
Sunes sommar,1993,Nina Alml?f,actress,Anna Andersson,5
Des...,2010,Angela Almodobar,actress,Chica billar,
Girafot,2001,Yael Almog,actress,Efrat's Co-Worker,15
Zolgot Hadma'ot Me'atzman,1996,Yael Almog,actress,Nitza,
The World Famous Kid Detective,2014,Lillian Almohajer,actress,Addison Kid,4
Yatheb yat'eb,1994,Merna Almohandes,actress,Sherwet,
"Jack, the Last Victim",2005,Amanda Almond,actress,Mary Jane Kelly,
Art Ache,2015,Claire Almond,actress,Kash Finalist,34
Dead Weekend,2014,Claire Almond,actress,Demon,
Creditors,2015,Clare Almond,actress,Book Launch Party Guest,
Darkest Hour,2017,Clare Almond,actress,Member of Parliament,
The Slender Thread,1965,Erin Almond,actress,Child at Beach,30
Yanks,1979,Gertie Almond,actress,Neighbour,36
Blue Lake Massacre,2007,Heather Almond,actress,Dustie,24
The Journey to California,2001,Lise Almond,actress,Christina,5
Arthur,2011,Devin Almonte,actress,Susan's Bridesmaid,
Reticent,2011,Devin Almonte,actress,Fiona Phillips,
Grand Opening,2006,Elaine Almonte,actress,Meat Shopper,17
Passioni,2012,Evelin Almonte,actress,Psicologa 2,7
Enigma,2008,Fifi Almonte,actress,B?rbara,
Badil,2013,Irene Almonte,actress,Nurse,38
The Rodnees: We Mod Like Dat!,2005,Jackie Almonte,actress,Q'Alilah Cooper,
Amnesia: Who Are You?,2014,Jessica Almonte,actress,Ramona,
Cleaver's Destiny,2013,Jessica Almonte,actress,Debbie,12
Elimination (II),2010,Jessica Almonte,actress,Nancy,
Ready 2 Die,2014,Jessica Almonte,actress,Ana,26
Subprime Children,2012,Jessica Almonte,actress,Employee #4,
Stake Land,2010,Lissette Almonte,actress,Townsfolk,86
Kadenang bulaklak,1994,Loreta Almonte,actress,Lorrie,40
Verdad o Reto,2016,Odelys Almonte,actress,Gente Saliendo 2,
Nueba Yol,1995,Rosmery 'Boquita' Almonte,actress,Evelin,15
The Dinner,2017,Taylor Rae Almonte,actress,Kamryn Velez,9
Lady Luck,2016,Yuriko Almonte,actress,Co-Worker,
Lapu-Lapu,2002,Chiqui Almores,actress,Humabon's Wife,50
"OK, Good",2012,Carolyn Almos,actress,Actor,
The Country Bears,2002,Carolyn Almos,actress,Tina Tamina,18
Care Bears Movie II: A New Generation,1986,Eva Almos,actress,Friend Bear,11
The Care Bears Adventure in Wonderland,1987,Eva Almos,actress,Swift Heart Rabbit,2
The Care Bears Movie,1985,Eva Almos,actress,Friend Bear,5
The Care Bears Movie,1985,Eva Almos,actress,Champ Bear,5
The Care Bears Movie,1985,Eva Almos,actress,Swift Heart Rabbit,5
One Christmas Eve,2014,Jean Almquist,actress,Grandmother in church,
Buss till Italien,2005,Josefine Almquist,actress,Klasskompis,
Ricki and the Flash,2015,Leasen Beth Almquist,actress,Wedding Dancer,64
The Intern,2015,Leasen Beth Almquist,actress,Tai Chi Class,57
Transatlantic Coffee,2012,Leasen Beth Almquist,actress,Mother,
Buss till Italien,2005,Josefine Almqvist,actress,Klasskompis,
Dagmars Heta Trosor,1971,Karin Almqvist,actress,Dagmar's girlfriend Else,30
Blackout (II),2014,Anna Almroth,actress,Lisbeth,9
John Ericsson - segraren vid Hampton Roads,1937,Greta Almroth,actress,Amelia's friend in England,
La plaga,2013,Felisa Almud?var,actress,Avis llar d'avis,40
A ras de suelo,2005,Mar?a Almud?ver,actress,Claudia,9
Bestezuelas,2010,Mar?a Almud?ver,actress,Cecilia,
Jersey Shore Massacre,2014,Jeanemarie Almulla,actress,Club Girl 1,
Dance Flick,2009,Ameona Almund,actress,Club Goer,
Dark House,2009,Ameona Almund,actress,Suicide Vampire Girl #4,39
Meth Head,2013,Ameona Almund,actress,Event Patron,
The House Bunny,2008,Ameona Almund,actress,Hot Girl,
2 ilusiones,2004,Irene Almus,actress,Maquilladora,12
El Peor Dia de Mi Vida,2016,Irene Almus,actress,Ines,
Anastasia,1997,Brooks Almy,actress,Ensemble and Character Vocals,19
In Vino,2017,Brooks Almy,actress,Ms. Pruitt,
Life,1999,Brooks Almy,actress,Billy's Mama,28
Moving Violation,1976,Brooks Almy,actress,Secretary,18
Never Get Outta the Boat,2002,Brooks Almy,actress,Alice Thomas,
The Thirteenth Floor,1999,Brooks Almy,actress,Bridget's Mom,25
Acapulco Gold,1976,Camille Almy,actress,Doris,11
Kopaszkutya,1981,?va Alm?ssy Albert,actress,"Erzsi, a bandaf?n?k feles?ge",
Rosszemberek,1979,?va Alm?ssy Albert,actress,Hajk?n?,18
A '28-as',1943,?gnes Alm?ssy,actress,Rokons?g tagja,
Lelki klinika,1941,?gnes Alm?ssy,actress,szobal?ny S?sdy?kn?l,15
Treacherous Heart,2012,Zulie Alnahas,actress,Halima,
The Yellow Cake,2015,Sandra Alnaimi,actress,Natasha,2
Season of the Witch,2009,Gabbi Alner,actress,Villager,
Traveller,2013,Gabbi Alner,actress,Traveller,
Dave Made a Maze,2017,Kamilla Alnes,actress,Flemish Tourist,
Umut,1970,G?lsen Alnia?ik,actress,Fatma,2
Camp Virginovich,2012,Svetlana Alnikova,actress,Alina,
L'astragale,2015,Siegrid Alnoy,actress,Prostitu?e commissariat,35
La belle saison,2015,Siegrid Alnoy,actress,La coll?gue de Carole au Planning Familial,46
Huff! It's Too Much,2013,Deborah Aloba,actress,Title song dancer,
Adventureland,2009,Cristina Aloe,actress,Girl at Ping Pong Game,
She's Out of My League,2010,Cristina Aloe,actress,Airport Traveler,
Zack and Miri Make a Porno,2008,Cristina Aloe,actress,Reunion Guest,
Santo frente a la muerte,1969,Johana Aloha,actress,Agent X-25,8
Of Urban Myths and Other Stories,1998,Bridgit Aloi,actress,Alicia,1
Theresa Is a Mother,2012,Lucia Aloi,actress,Hot Tub swinger,
Romeo and Juliet (II),2014,Camilla Aloise,actress,Coro,36
Blue Skies,1946,Jean Aloise,actress,Dancer,
I'll Tell the World,1945,Jean Aloise,actress,Dance Specialty,14
The Legend of God's Gun,2007,Kelsey Aloise,actress,Prostitute - Brothel Scene,
La lunga ombra del lupo,1971,Irene Aloisi,actress,Wife of Podest?,12
Liars,2008,Janine Aloisi,actress,Pam,
Singularity,2007,Janine Aloisi,actress,Deli Mommy,
Ice Princess,2005,Laura Aloisio,actress,Snowplow Sam,23
Frances Ha,2012,Laurie Aloisio-Salem,actress,Christmas Guest,20
Ilusyon,2005,Jocelyn Alolod,actress,Store Owner,25
Renegades,1989,Marie Romain Aloma,actress,Saleswoman,28
Shake Rattle & Roll X,2008,Loraine Alombro,actress,"Aswang Minion (segment ""Emergency"")",40
BFF: Best Friends Forever,2009,Armira Alomesen,actress,Paco's Friend,27
Too Tall,2014,Liron Alon,actress,Store Clerk,
Pengantin pantai biru,2010,Chintyara Alona,actress,Jazzy,4
A Boy Called Dad,2009,Emma Alonby,actress,Female Officer,21
La guerra santa,1979,Alondra (III),actress,Muchacha,
Texana cien X #2,1998,Flor Alondra,actress,Invitada,
Destiny Road,2012,Lu Alone,actress,Jenny,
Jack Says,2008,Marianna Aloneftis,actress,Cafe Waitress,29
Levottomat,2000,Marita Alonen,actress,Ilonan ?iti,37
Joe's War,2017,Phylis Alongi,actress,Women at airport,
Kicking Out Shoshana,2014,Ayelet Aloni,actress,Policewoman,
